month	day	hour	DEWP	TEMP	PRES	Iws	Ir	pm2.5
0.727272727	0.9	0.434782609	0.514705882	0.639344262	0.527272727	0.246053377	0	0
0.727272727	0.9	0.652173913	0.441176471	0.704918033	0.472727273	0.340206003	0	0
0.727272727	0.666666667	0.130434783	0.779411765	0.540983607	0.436363636	0.085445278	0.25	0.001006036
0.454545455	0.3	0.782608696	0.558823529	0.786885246	0.145454545	0.041943933	0	0.001006036
0.727272727	0.9	0.695652174	0.455882353	0.68852459	0.454545455	0.361567323	0	0.001006036
0.727272727	0.9	0.739130435	0.470588235	0.68852459	0.454545455	0.377389211	0	0.001006036
0.727272727	0.966666667	0.130434783	0.676470588	0.459016393	0.490909091	0.004743027	0	0.001006036
0.545454545	0.166666667	0.52173913	0.661764706	0.93442623	0.181818182	0.005539431	0	0.002012072
0.818181818	0.333333333	0.347826087	0.705882353	0.540983607	0.472727273	0.004743027	0	0.002012072
0.818181818	0.433333333	0.260869565	0.602941176	0.459016393	0.527272727	0.016618293	0	0.002012072
0	0.933333333	0.217391304	0.220588235	0.131147541	0.818181818	0.206498655	0	0.002012072
0.636363636	0.566666667	0.217391304	0.867647059	0.639344262	0.345454545	0.002353816	0	0.002012072
0.454545455	0.3	0.739130435	0.558823529	0.786885246	0.145454545	0.036404502	0	0.002012072
0.727272727	0.9	0.130434783	0.602941176	0.573770492	0.490909091	0.121832083	0	0.002012072
0.727272727	0.9	0.260869565	0.573529412	0.557377049	0.509090909	0.169297749	0	0.002012072
0.727272727	0.9	0.304347826	0.544117647	0.573770492	0.509090909	0.189083959	0	0.002012072
0.727272727	0.9	0.608695652	0.470588235	0.704918033	0.472727273	0.320419793	0	0.002012072
0.727272727	0.9	0.782608696	0.5	0.639344262	0.472727273	0.387671669	0	0.002012072
0.727272727	0.933333333	0	0.544117647	0.590163934	0.509090909	0.445437491	0	0.002012072
0.727272727	0.933333333	0.47826087	0.573529412	0.68852459	0.509090909	0.011857568	0	0.002012072
0.727272727	0.966666667	0.086956522	0.676470588	0.491803279	0.509090909	0.005539431	0	0.002012072
0.818181818	0.3	0	0.573529412	0.557377049	0.527272727	0.254725329	0	0.002012072
0.909090909	0.9	0.086956522	0.176470588	0.245901639	0.672727273	0.602806881	0	0.002012072
0.636363636	0.1	0.869565217	0.852941176	0.672131148	0.272727273	0.002371514	0	0.002012072
0.636363636	0.1	0.913043478	0.852941176	0.655737705	0.290909091	0.007910944	0	0.002012072
0.636363636	0.166666667	0.652173913	0.735294118	0.852459016	0.272727273	0.036386804	0	0.002012072
0.727272727	0.233333333	0.043478261	0.823529412	0.639344262	0.345454545	0.023732833	0	0.002012072
0.727272727	0.233333333	0.086956522	0.735294118	0.62295082	0.345454545	0.029272264	0	0.002012072
0.909090909	0.033333333	0.260869565	0.441176471	0.442622951	0.581818182	0.26026476	0	0.002012072
0.909090909	0.366666667	0.086956522	0.367647059	0.409836066	0.581818182	0.275343339	0	0.002012072
0.909090909	0.366666667	0.130434783	0.352941176	0.409836066	0.581818182	0.285625796	0	0.002012072
0.545454545	0.166666667	0.565217391	0.676470588	0.967213115	0.163636364	0.011078862	0	0.003018109
